'LeanUrat.MovesS.n2_sh_laws' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_shape' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_shapefam' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_sigmas' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_solve_vals' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_wshp_device' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_x3' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_xhd_orphan' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_xhd_stray' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_xhd_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_xrb' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2hK' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2hdc' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2hdet' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.nested_delta_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.neumann_partial' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.powSubstAux_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.powSubst_C' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.powSubst_OKat' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.powSubst_X' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.powSubst_evalAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.powSubst_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.pow_entry_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.pow_entry_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.pow_fixed_vector' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.pow_pool' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.ratfunc_eval_infinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.rexact_solve' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.rs2_unique_interp' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.rs3_det_symbolic' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.rs4_rational_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.scs' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.scs_flank' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.scs_stage' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.solve_cramer' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.solve_exists_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.solve_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
