'LeanUrat.MovesD.event_iff_mult' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.event_mult_empty_shape' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.fiber_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.fieldTower_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.floorH_shape' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.frameField_eq_pool' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.gamTie_stage_form' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.gmu_le_len' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.htH_shape' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.innerslot_shape' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.kappaH_shape' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.lineS_at_jstar' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.line_shape' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.mult_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.mult_sum_opt' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.noteNP_le_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.pool_card_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.prefSet_subset_any' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.prevRim_shape' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.rank_inj' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.reprOf_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.selRank_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.slotVal_shape' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.staircase_shape' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.strFrame_shape' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.thmC_top' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.topLocus_admissible' depends on axioms: [propext, Quot.sound]
'LeanUrat.MovesD.topLocus_numPinned' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.topLocus_sol' depends on axioms: [propext, Quot.sound]
'LeanUrat.MovesD.totalPins_top' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.tree_prefix_closed' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.tree_root_of_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.wellformed_of_wf' depends on axioms: [propext, Classical.choice, Quot.sound]
