U3_freshBand.lean	LeanUrat.MovesJ.mkFresh_band
U4_freshCover.lean	LeanUrat.MovesJ.levelSet_no_straddle
U4_freshCover.lean	LeanUrat.MovesJ.mkFresh_cover
U5_freshAssembled.lean	LeanUrat.MovesJ.mkFresh_assembled
U6_mstarEq.lean	LeanUrat.MovesJ.mkFresh_mstar
U7_sigmaRec.lean	LeanUrat.MovesJ.mkSigma_init
U7_sigmaRec.lean	LeanUrat.MovesJ.freshAttach_exists
U7_sigmaRec.lean	LeanUrat.MovesJ.mkSigma_recursion_of_unpinned
U7_sigmaRec.lean	LeanUrat.MovesJ.mkSigma_recursion_zero
U7_sigmaRec.lean	LeanUrat.MovesJ.mkSigma_recursion
U8_inhImplied.lean	LeanUrat.MovesJ.mkStratum_inh
U9_zcRoot.lean	LeanUrat.MovesJ.zc_root_downset_mp
U9_zcRoot.lean	LeanUrat.MovesJ.zc_root_downset_mpr
U9_zcRoot.lean	LeanUrat.MovesJ.zc_root_interior_zero
U9_zcRoot.lean	LeanUrat.MovesJ.zc_root
U9_zcRoot.lean	LeanUrat.MovesJ.u9c_probe_tail
