'LeanUrat.HC1.T1_baseStage' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.T2_baseGate' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.T3_htChainWeight' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.T4_slotMinHt' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.T5_levelSetInGamma' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.T6_carrierLaws' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.T7_alphabetSpan' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.T8_alphabetStep' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.T9_blockDisjoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.Tower.side_w' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V10_forcedKeyWeight' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V10_readTransition_incompatible' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V10_transportWindow' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V1_readWPack' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V2_readFrame' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V2_readResidual' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V3_equalWeights_lift' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V3_readLift' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V4_readLanding' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V6_descentOrbits' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V6_regradeOrbits' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V7_stripDischarge' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V8_childResidual' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V8_digitUnit' depends on axioms: [propext, Classical.choice, Quot.sound]
AxChk_HC1_scratch.lean:172:14: error(lean.unknownIdentifier): Unknown constant `LeanUrat.HC1.V8_eval`
'LeanUrat.HC1.V8_tiedPos_inj' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V8a_carrierAdditive' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V8b_carrierLaws' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V8c_wStrict' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V9_E1box_nonrec' depends on axioms: [propext, Classical.choice, Quot.sound]
